iter	RMSE
0	56.87043682
1	55.19819784
2	53.80633559
3	52.39800894
4	50.98308581
5	49.69725981
6	48.49497072
7	47.51262871
8	46.42162465
9	45.47193512
10	44.48296609
11	43.62862553
12	42.82491219
13	42.03036284
14	41.32124185
15	40.65660449
16	40.0120501
17	39.32591266
18	38.72734049
19	38.10399544
20	37.58997485
21	37.05530579
22	36.55832143
23	36.08963134
24	35.56200716
25	35.07860841
26	34.62187066
27	34.24120196
28	33.86891359
29	33.49159588
30	33.15760579
31	32.85719008
32	32.45621828
33	32.16341298
34	31.9205646
35	31.57151294
36	31.26994432
37	30.996234
38	30.70204689
39	30.47123696
40	30.18505487
41	29.95325469
42	29.80799429
43	29.61040553
44	29.35443264
45	29.15746346
46	28.90227391
47	28.71017996
48	28.492287
49	28.3372019
50	28.2140607
51	28.02320088
52	27.83766964
53	27.74168159
54	27.56046333
55	27.38431573
56	27.24235822
57	27.0652414
58	26.93447175
59	26.78317006
60	26.6360293
61	26.49779032
62	26.37786826
63	26.290266
64	26.1649826
65	26.03057763
66	25.92428881
67	25.80108758
68	25.71010542
69	25.61853996
70	25.52123613
71	25.39843795
72	25.30892012
73	25.21160723
74	25.06645567
75	24.99529915
76	24.88870385
77	24.81586437
78	24.72988069
79	24.59559431
80	24.49491348
81	24.43902675
82	24.36178806
83	24.25938026
84	24.1657187
85	24.04055569
86	23.96934089
87	23.90283434
88	23.85504732
89	23.74619682
90	23.69816338
91	23.61491903
92	23.55488486
93	23.51113832
94	23.43866215
95	23.3859471
96	23.31654953
97	23.2363566
98	23.17273818
99	23.11473897
100	23.03126534
101	22.98716659
102	22.95256248
103	22.90157483
104	22.82294241
105	22.77755835
106	22.74712582
107	22.71329277
108	22.67169702
109	22.61878892
110	22.56917001
111	22.52269501
112	22.4946265
113	22.4279032
114	22.39589662
115	22.31532711
116	22.25210117
117	22.22142643
118	22.18107147
119	22.13607953
120	22.08570485
121	22.03855498
122	21.96986062
123	21.9207208
124	21.88869348
125	21.85221549
126	21.76833615
127	21.71326529
128	21.67820587
129	21.62216018
130	21.60522468
131	21.5765538
132	21.5350811
133	21.47622212
134	21.44473159
135	21.42402272
136	21.38230286
137	21.3545835
138	21.32543665
139	21.2705184
140	21.22984834
141	21.20148892
142	21.18264615
143	21.1533476
144	21.11023906
145	21.08258155
146	21.0383594
147	21.02163487
148	20.9966083
149	20.97222477
150	20.92036909
151	20.8736379
152	20.85129993
153	20.81925349
154	20.79531436
155	20.73300635
156	20.71308116
157	20.67617948
158	20.64451779
159	20.60048522
160	20.56892113
161	20.52056296
162	20.47471647
163	20.4458376
164	20.42839477
165	20.3906473
166	20.35188463
167	20.33255364
168	20.29842606
169	20.23927121
170	20.18471691
171	20.16573306
172	20.13810999
173	20.11336244
174	20.09068963
175	20.06392252
176	20.03807616
177	19.99589654
178	19.97316717
179	19.92556985
180	19.89898741
181	19.88128854
182	19.84392497
183	19.80491318
184	19.76186212
185	19.74489834
186	19.72977673
187	19.6741045
188	19.65406386
189	19.62492015
190	19.60252887
191	19.57307592
192	19.52748458
193	19.49339738
194	19.47165949
195	19.44158291
196	19.40360697
197	19.38584188
198	19.36036478
199	19.33270614
200	19.31854387
201	19.3021587
202	19.27089461
203	19.23915524
204	19.22119439
205	19.19271685
206	19.17148795
207	19.14474993
208	19.12735969
209	19.11604688
210	19.09308925
211	19.05562588
212	19.02593576
213	18.99753369
214	18.9718831
215	18.94553471
216	18.92127142
217	18.90287072
218	18.88091284
219	18.86485276
220	18.84352492
221	18.81772708
222	18.77242452
223	18.74876887
224	18.72667132
225	18.71724962
226	18.68697052
227	18.66156721
228	18.64206263
229	18.59709419
230	18.5649537
231	18.53473867
232	18.49327188
233	18.48355506
234	18.48253622
235	18.44985393
236	18.42684754
237	18.40613534
238	18.37955134
239	18.36046733
240	18.35088211
241	18.31511604
242	18.29001931
243	18.28038681
244	18.26260296
245	18.24116323
246	18.20930728
247	18.18733108
248	18.1678578
249	18.14442739
250	18.12723146
251	18.11609996
252	18.09388371
253	18.04295561
254	18.02457066
255	18.01917502
256	17.99719383
257	17.97769358
258	17.95531961
259	17.9403069
260	17.92332069
261	17.9002487
262	17.87552793
263	17.85265875
264	17.83425789
265	17.81112015
266	17.79318144
267	17.77366879
268	17.74737077
269	17.70574478
270	17.68635801
271	17.67136577
272	17.64814956
273	17.64056289
274	17.61175281
275	17.58940598
276	17.5575482
277	17.52807439
278	17.50868468
279	17.47166073
280	17.45896793
281	17.41842537
282	17.39690331
283	17.37338161
284	17.36056995
285	17.33262581
286	17.31226414
287	17.29897945
288	17.28053815
289	17.25988906
290	17.25885468
291	17.22953599
292	17.20999308
293	17.20845307
294	17.18926147
295	17.17550144
296	17.16164274
297	17.14087228
298	17.1195022
299	17.09238766
300	17.09029318
301	17.05678162
302	17.03647688
303	17.02761477
304	17.0039012
305	16.98906928
306	16.98553317
307	16.98204453
308	16.96502443
309	16.96306864
310	16.94524724
311	16.92199232
312	16.9061479
313	16.89320745
314	16.87715999
315	16.861908
316	16.85115004
317	16.83384325
318	16.83298263
319	16.82008885
320	16.79832985
321	16.76716015
322	16.74886588
323	16.73580364
324	16.73467535
325	16.72334426
326	16.69969786
327	16.68578476
328	16.67166391
329	16.66916731
330	16.6450698
331	16.64151792
332	16.61970292
333	16.61606378
334	16.59809592
335	16.58048565
336	16.56558167
337	16.55325141
338	16.53461552
339	16.53173276
340	16.52159662
341	16.48601495
342	16.46511828
343	16.46238501
344	16.45972826
345	16.4428016
346	16.42161694
347	16.41923017
348	16.40501887
349	16.38967806
350	16.3658062
351	16.35359612
352	16.33434425
353	16.321845
354	16.30495023
355	16.29304999
356	16.27154755
357	16.25766172
358	16.23847775
359	16.22847925
360	16.2138015
361	16.19837096
362	16.17805295
363	16.16299657
364	16.15060044
365	16.1246053
366	16.12133913
367	16.11394146
368	16.10053539
369	16.08771227
370	16.06951278
371	16.04388355
372	16.01926884
373	15.99400353
374	15.97244504
375	15.95904175
376	15.95562867
377	15.94087614
378	15.93202632
379	15.92468745
380	15.91583201
381	15.88634812
382	15.87810382
383	15.86291065
384	15.84353245
385	15.82501077
386	15.80980428
387	15.79167335
388	15.78071534
389	15.75440885
390	15.75118005
391	15.73780545
392	15.72895048
393	15.71593753
394	15.69935256
395	15.69159575
396	15.6789878
397	15.65968171
398	15.64432451
399	15.61631492
400	15.60063352
401	15.59396254
402	15.58080203
403	15.57813668
404	15.56804883
405	15.5583078
406	15.53928532
407	15.52327705
408	15.51771125
409	15.48591545
410	15.47045944
411	15.4629621
412	15.44923306
413	15.44026165
414	15.43610219
415	15.42387671
416	15.40638813
417	15.3901212
418	15.38611911
419	15.38062578
420	15.36943506
421	15.35538374
422	15.33872429
423	15.31618344
424	15.3139389
425	15.29595426
426	15.27985659
427	15.26819321
428	15.26269012
429	15.25410055
430	15.241686
431	15.22563447
432	15.20859828
433	15.17618341
434	15.1539209
435	15.14750344
436	15.13839846
437	15.13234105
438	15.12322229
439	15.1148452
440	15.11236928
441	15.0903822
442	15.06604331
443	15.05396175
444	15.03771475
445	15.01516478
446	15.01194336
447	15.00276068
448	14.98749562
449	14.97273235
450	14.96857407
451	14.94607148
452	14.93640872
453	14.91367976
454	14.90389183
455	14.8961839
456	14.88181373
457	14.86044328
458	14.84728879
459	14.83911123
460	14.82657474
461	14.81518671
462	14.80346692
463	14.79629854
464	14.77648248
465	14.76649592
466	14.75681671
467	14.7483355
468	14.74041278
469	14.72920902
470	14.71321623
471	14.69840531
472	14.67520385
473	14.66609698
474	14.65011814
475	14.63610581
476	14.62455911
477	14.61680516
478	14.60253576
479	14.5924615
480	14.57985463
481	14.57391529
482	14.56460569
483	14.54643829
484	14.52005872
485	14.50813835
486	14.49682626
487	14.48351848
488	14.477216
489	14.46777959
490	14.45303279
491	14.44375941
492	14.43053421
493	14.4157225
494	14.39959272
495	14.39070816
496	14.37479939
497	14.36189532
498	14.34888552
499	14.33649636
500	14.32795131
501	14.3083182
502	14.30196954
503	14.29085984
504	14.27687602
505	14.26916396
506	14.2550725
507	14.23391871
508	14.22176583
509	14.20616053
510	14.19198465
511	14.17276893
512	14.16864776
513	14.157279
514	14.14474389
515	14.1298181
516	14.11578434
517	14.10145369
518	14.09198136
519	14.08245202
520	14.05634539
521	14.04577445
522	14.02499425
523	14.01611283
524	13.99880503
525	13.99073292
526	13.97825764
527	13.969073
528	13.95887963
529	13.95285556
530	13.9411679
531	13.93253857
532	13.92022872
533	13.90973075
534	13.9020893
535	13.89065438
536	13.87947039
537	13.85996779
538	13.8477563
539	13.8393166
540	13.82634121
541	13.81218022
542	13.8048237
543	13.79177643
544	13.77768636
545	13.76854876
546	13.75788747
547	13.74705832
548	13.73223635
549	13.72197042
550	13.7052397
